0,0
00:09:18,0.611933446 Image_Scale: 1 Haar_Scale: 1
00:09:19,0.568371052 Image_Scale: 1 Haar_Scale: 0
00:43:42,0.623151668 Image_Scale: 1 Haar_Scale: 2
00:43:42,0.138253312 Image_Scale: 2 Haar_Scale: 2
00:43:42,0.048329573 Image_Scale: 3 Haar_Scale: 2
00:43:43,0.583360076 Image_Scale: 1 Haar_Scale: 2
00:43:43,0.142721256 Image_Scale: 2 Haar_Scale: 2
00:43:44,0.589232687 Image_Scale: 1 Haar_Scale: 2
00:43:44,0.145129687 Image_Scale: 2 Haar_Scale: 2
00:43:44,0.0500721620001 Image_Scale: 3 Haar_Scale: 2
00:43:45,0.591690106 Image_Scale: 1 Haar_Scale: 2
00:43:45,0.140059885 Image_Scale: 2 Haar_Scale: 2
00:43:45,0.0506820170001 Image_Scale: 3 Haar_Scale: 2
00:43:46,0.672729946 Image_Scale: 1 Haar_Scale: 2
00:43:46,0.141189618 Image_Scale: 2 Haar_Scale: 2
00:43:46,0.049397321 Image_Scale: 3 Haar_Scale: 2
00:43:46,0.592356948 Image_Scale: 1 Haar_Scale: 2
00:43:47,0.143308118 Image_Scale: 2 Haar_Scale: 2
00:43:47,0.050671019 Image_Scale: 3 Haar_Scale: 2
00:43:47,0.597042841 Image_Scale: 1 Haar_Scale: 2
00:43:47,0.146994246 Image_Scale: 2 Haar_Scale: 2
00:43:47,0.0537123000001 Image_Scale: 3 Haar_Scale: 2
00:43:48,0.587724044 Image_Scale: 1 Haar_Scale: 2
00:43:48,0.145776534 Image_Scale: 2 Haar_Scale: 2
00:43:48,0.04931734 Image_Scale: 3 Haar_Scale: 2
00:43:49,0.588800789 Image_Scale: 1 Haar_Scale: 2
00:43:49,0.146437377 Image_Scale: 2 Haar_Scale: 2
00:43:49,0.0514168430002 Image_Scale: 3 Haar_Scale: 2
00:43:50,0.591614124 Image_Scale: 1 Haar_Scale: 2
00:43:50,0.232040138 Image_Scale: 2 Haar_Scale: 2
00:43:50,0.053385378 Image_Scale: 3 Haar_Scale: 2
00:43:51,0.590356421 Image_Scale: 1 Haar_Scale: 2
00:43:51,0.144265891 Image_Scale: 2 Haar_Scale: 2
00:43:51,0.0489064370001 Image_Scale: 3 Haar_Scale: 2
00:43:52,0.5925599 Image_Scale: 1 Haar_Scale: 2
00:43:52,0.145764537 Image_Scale: 2 Haar_Scale: 2
00:43:52,0.050441075 Image_Scale: 3 Haar_Scale: 2
00:43:53,0.594216509 Image_Scale: 1 Haar_Scale: 2
00:43:53,0.145490602 Image_Scale: 2 Haar_Scale: 2
00:43:53,0.0518617380001 Image_Scale: 3 Haar_Scale: 2
00:43:53,0.591213219 Image_Scale: 1 Haar_Scale: 2
00:43:54,0.143988957 Image_Scale: 2 Haar_Scale: 2
00:43:54,0.0515638090001 Image_Scale: 3 Haar_Scale: 2
00:43:54,0.590461396 Image_Scale: 1 Haar_Scale: 2
00:43:54,0.145144683 Image_Scale: 2 Haar_Scale: 2
00:43:55,0.050559046 Image_Scale: 3 Haar_Scale: 2
00:43:55,0.678152664 Image_Scale: 1 Haar_Scale: 2
00:43:55,0.147000245 Image_Scale: 2 Haar_Scale: 2
00:43:55,0.0500501670001 Image_Scale: 3 Haar_Scale: 2
00:43:56,0.596901874 Image_Scale: 1 Haar_Scale: 2
00:43:56,0.146404385 Image_Scale: 2 Haar_Scale: 2
00:43:56,0.0520496940001 Image_Scale: 3 Haar_Scale: 2
00:43:57,0.588962751 Image_Scale: 1 Haar_Scale: 2
00:43:57,0.146115454 Image_Scale: 2 Haar_Scale: 2
00:43:57,0.0528235100001 Image_Scale: 3 Haar_Scale: 2
00:43:58,0.595450217 Image_Scale: 1 Haar_Scale: 2
00:43:58,0.143729018 Image_Scale: 2 Haar_Scale: 2
00:43:58,0.050641027 Image_Scale: 3 Haar_Scale: 2
00:43:59,0.598544486 Image_Scale: 1 Haar_Scale: 2
00:43:59,0.144199906 Image_Scale: 2 Haar_Scale: 2
00:43:59,0.050311105 Image_Scale: 3 Haar_Scale: 2
00:44:00,0.590425405 Image_Scale: 1 Haar_Scale: 2
00:44:00,0.144740779 Image_Scale: 2 Haar_Scale: 2
00:44:00,0.0511199140001 Image_Scale: 3 Haar_Scale: 2
00:44:01,0.680307154 Image_Scale: 1 Haar_Scale: 2
00:44:01,0.146878273 Image_Scale: 2 Haar_Scale: 2
00:44:01,0.0515328160002 Image_Scale: 3 Haar_Scale: 2
00:44:01,0.590423406 Image_Scale: 1 Haar_Scale: 2
00:44:02,0.145445612 Image_Scale: 2 Haar_Scale: 2
00:44:02,0.0507859929999 Image_Scale: 3 Haar_Scale: 2
00:44:02,0.588944755 Image_Scale: 1 Haar_Scale: 2
00:44:02,0.146142447 Image_Scale: 2 Haar_Scale: 2
00:44:03,0.04978323 Image_Scale: 3 Haar_Scale: 2
00:44:03,0.592763853 Image_Scale: 1 Haar_Scale: 2
00:44:03,0.147855043 Image_Scale: 2 Haar_Scale: 2
00:44:03,0.0508419789999 Image_Scale: 3 Haar_Scale: 2
00:44:04,0.594733386 Image_Scale: 1 Haar_Scale: 2
00:44:04,0.145310644 Image_Scale: 2 Haar_Scale: 2
00:44:04,0.0504480719999 Image_Scale: 3 Haar_Scale: 2
00:44:05,0.613861864 Image_Scale: 1 Haar_Scale: 2
00:44:05,0.181390114 Image_Scale: 2 Haar_Scale: 2
00:44:05,0.052851504 Image_Scale: 3 Haar_Scale: 2
00:44:06,0.608068234 Image_Scale: 1 Haar_Scale: 2
00:44:06,0.14596149 Image_Scale: 2 Haar_Scale: 2
00:44:06,0.0521496700001 Image_Scale: 3 Haar_Scale: 2
00:44:07,0.589665585 Image_Scale: 1 Haar_Scale: 2
00:44:07,0.142571292 Image_Scale: 2 Haar_Scale: 2
00:44:07,0.049373326 Image_Scale: 3 Haar_Scale: 2
00:44:08,0.587220163 Image_Scale: 1 Haar_Scale: 2
00:44:08,0.144096931 Image_Scale: 2 Haar_Scale: 2
00:44:08,0.050497061 Image_Scale: 3 Haar_Scale: 2
00:44:08,0.595514202 Image_Scale: 1 Haar_Scale: 2
00:44:09,0.14799201 Image_Scale: 2 Haar_Scale: 2
00:44:09,0.053069452 Image_Scale: 3 Haar_Scale: 2
00:44:09,0.592648879 Image_Scale: 1 Haar_Scale: 2
00:44:10,0.147362159 Image_Scale: 2 Haar_Scale: 2
00:44:10,0.0502841120001 Image_Scale: 3 Haar_Scale: 2
00:44:10,0.681980758 Image_Scale: 1 Haar_Scale: 2
00:44:10,0.145121688 Image_Scale: 2 Haar_Scale: 2
00:44:11,0.049935194 Image_Scale: 3 Haar_Scale: 2
00:44:11,0.589326665 Image_Scale: 1 Haar_Scale: 2
00:44:11,0.148987775 Image_Scale: 2 Haar_Scale: 2
00:44:11,0.0525115840001 Image_Scale: 3 Haar_Scale: 2
00:44:12,0.59374862 Image_Scale: 1 Haar_Scale: 2
